12/31/2018,3/31/2019,6/30/2019,9/30/2019,12/31/2019,3/31/2020,6/30/2020,9/30/2020
BL078201,BL100329,BL231749,BL236984,BL237452,BL238555,BL239077,BL134368
BL100329,BL125044,BL228717,BL240745,BL238574,BL235318,BL238559,BL201089
BL122781,BL171317,BL235596,BL231749,BL238559,BL240639,BL239854,BL244467
BL125044,BL185999,BL234908,BL231646,BL236099,BL239854,BL234906,BL224671
BL101755,BL177244,BL234906,BL235667,BL235667,BL239077,BL240392,BL251616
BL171317,BL180772,BL235079,BL236099,BL235595,BL240392,BL240639,BL251721
BL173772,BL172297,BL236141,BL228717,BL234908,BL240488,BL234871,BL251802
BL173220,BL134368,BL237116,BL235318,BL234906,BL234906,BL234908,BL251813
BL214824,BL173772,BL235318,BL235596,BL238555,BL234908,BL241337,BL252700
BL185999,BL224671,BL238559,BL235595,BL240392,BL236099,BL240380,BL252803
BL166475,BL295461,BL240745,BL238559,BL240488,BL238559,BL238050,BL241337
BL174967,BL243427,BL239854,BL238555,BL235318,BL234871,BL235667,BL243779
BL180772,BL244829,BL238050,BL236141,BL238034,BL240380,BL228717,BL238050
BL172297,BL244847,BL240392,BL234908,BL236141,BL238050,BL235542,BL244046
BL171139,BL214824,BL240488,BL234906,BL240745,BL221885,BL235474,BL244143
BL126064,BL272654,BL240380,BL235088,BL199124,BL226994,BL226994,BL221093
BL134368,BL270579,BL199124,BL239854,BL230354,BL235474,BL237452,BL221394
BL224671,BL273240,BL234871,BL240392,BL234871,BL231749,BL231749,BL231646
BL244847,BL269673,BL235775,BL240488,BL231749,BL235667,BL231646,BL231749
BL226994,BL271621,BL235542,BL237116,BL228717,BL231646,BL238753,BL238559
BL199124,BL268909,BL235474,BL238574,BL235596,BL255714,BL251721,BL238753
BL202268,BL270253,BL237452,BL228280,BL228280,BL244467,BL252667,BL239077
BL270579,BL269923,BL236984,BL234871,BL235474,BL252700,BL251813,BL265493
BL271889,BL271889,BL230354,BL235474,BL231646,BL251802,BL251802,BL239854
BL271576,BL285485,BL235595,BL237452,BL243812,BL252667,BL255285,BL265955
BL275384,BL288292,BL228280,BL235775,BL246641,BL255241,BL258203,BL265961
BL268988,BL281393,BL236099,BL230354,BL249938,BL255284,BL249221,BL266251
BL270253,BL283140,BL235088,BL226994,BL243923,BL243413,BL248205,BL100329
BL270251,BL279056,BL231646,BL235684,BL244847,BL248205,BL244046,BL196349
BL538122,BL291890,BL235667,BL243413,BL244046,BL251616,BL249678,BL187278
BL283150,BL252700,BL235684,BL243812,BL238753,BL250867,BL251616,BL173772
BL288292,BL256794,BL243812,BL249185,BL239077,BL249221,BL249838,BL174967
BL285485,BL258040,BL246641,BL248205,BL238050,BL249938,BL249938,BL199124
BL279056,BL258361,BL243298,BL244046,BL237116,BL252803,BL252803,BL256132
BL283316,BL279790,BL249064,BL243779,BL240380,BL249185,BL249185,BL256250
BL283330,BL277057,BL249935,BL244467,BL239854,BL262812,BL228280,BL256296
BL258043,BL272555,BL248205,BL240639,BL248205,BL255285,BL252700,BL256304
BL268525,BL268525,BL249838,BL240380,BL250103,BL249838,BL249434,BL262463
BL268529,BL268211,BL243923,BL238753,BL249838,BL251813,BL255714,BL262812
BL272558,BL268221,BL244467,BL239077,BL251802,BL221093,BL240745,BL263002
BL268221,BL268220,BL244067,BL241337,BL251813,BL224671,BL221093,BL263445
BL269547,BL272558,BL244847,BL239798,BL250043,BL238753,BL248517,BL263622
BL289775,BL268529,BL244829,BL238034,BL251721,BL243923,BL221885,BL263923
BL283894,BL292293,BL240639,BL238050,BL243887,BL237452,BL243413,BL228280
BL239854,BL284033,BL239077,BL249838,BL244143,BL235596,BL243923,BL264262
BL240380,BL285328,BL238753,BL251803,BL243413,BL201089,BL235596,BL228717
BL239692,BL199124,BL239798,BL250103,BL243779,BL221394,BL224671,BL264386
BL237313,BL289775,BL241337,BL249131,BL242468,BL173772,BL201089,BL329701
BL243298,BL283316,BL238574,BL251802,BL244467,BL174967,BL219943,BL320420
BL243297,BL285266,BL238034,BL251721,BL248517,BL269923,BL214824,BL320421
BL248205,BL294352,BL236282,BL251813,BL250867,BL271061,BL221394,BL330021
BL240488,BL283512,BL238555,BL250043,BL249434,BL274402,BL173772,BL330150
BL238555,BL272169,BL251803,BL243887,BL100329,BL202268,BL182832,BL330619
BL241337,BL282719,BL251813,BL242468,BL134368,BL214824,BL276960,BL330645
BL238050,BL283894,BL250103,BL243923,BL174967,BL199124,BL202268,BL330764
BL236984,BL283330,BL251802,BL246641,BL171317,BL100329,BL199124,BL341524
BL236282,BL239798,BL249131,BL251616,BL173772,BL134368,BL198366,BL341797
BL239077,BL238555,BL251721,BL100329,BL202268,BL124792,BL198330,BL305168
BL235595,BL237313,BL250043,BL110020,BL221394,BL124793,BL134368,BL324361
BL235818,BL238559,BL243887,BL174967,BL221093,BL087300,BL110020,BL324679
BL235596,BL236141,BL243427,BL171317,BL214824,BL110020,BL100329,BL335528
BL238034,BL235775,BL244143,BL173772,BL224671,BL228717,BL174967,BL326898
BL236141,BL235596,BL244046,BL180772,BL226994,BL235542,BL230354,BL328081
BL244067,BL235595,BL243297,BL221885,BL228609,BL230354,BL270253,BL328151
BL242468,BL237452,BL243413,BL202268,BL201089,BL228280,BL276610,BL328162
BL238574,BL239077,BL243779,BL214824,BL187278,BL276610,BL276648,BL328253
BL244829,BL235667,BL249185,BL228609,BL262593,BL278225,BL272504,BL328332
BL240639,BL238050,BL251616,BL224671,BL261839,BL270111,BL279790,BL328400
BL243923,BL238034,BL100329,BL201089,BL264562,BL278129,BL272558,BL328425
BL244467,BL236984,BL174967,BL187278,BL264386,BL272558,BL268187,BL328488
BL248517,BL248517,BL171317,BL199124,BL264384,BL272504,BL269818,BL328490
BL246641,BL243297,BL177244,BL134368,BL263923,BL272620,BL267827,BL328496
BL243518,BL244467,BL173772,BL263522,BL264269,BL266039,BL268211,BL328502
BL240745,BL238574,BL180772,BL263923,BL283330,BL268211,BL269186,BL328506
BL244046,BL240639,BL202268,BL261839,BL279056,BL268220,BL269082,BL328521
BL235684,BL241337,BL221394,BL264384,BL284165,BL269082,BL269782,BL328613
BL235318,BL243413,BL224167,BL264269,BL281230,BL271576,BL272187,BL328625
BL228717,BL243518,BL226994,BL265955,BL283316,BL269782,BL268221,BL328666
BL236101,BL246641,BL224671,BL283316,BL283048,BL265742,BL265142,BL328698
BL236099,BL244046,BL228609,BL279056,BL280251,BL268221,BL266977,BL328763
BL235542,BL240745,BL201089,BL276960,BL277400,BL266977,BL265252,BL328771
BL235474,BL243923,BL185999,BL281227,BL278225,BL269186,BL266045,BL328790
BL238753,BL242468,BL134368,BL281230,BL279790,BL267827,BL272736,BL328802
BL237452,BL244067,BL264386,BL280251,BL277177,BL271539,BL271576,BL328851
BL237116,BL235684,BL264384,BL279790,BL276826,BL267819,BL272312,BL328865
BL235775,BL235318,BL263923,BL278225,BL278129,BL271080,BL269238,BL329002
BL235531,BL235542,BL262450,BL278129,BL274402,BL276960,BL270456,BL329024
BL228280,BL228717,BL263522,BL276826,BL274101,BL272312,BL269077,BL329025
BL230354,BL236101,BL264562,BL271080,BL272620,BL272187,BL268220,BL329031
BL234871,BL236099,BL283048,BL273210,BL268909,BL277057,BL272620,BL329091
BL235079,BL236282,BL283316,BL270251,BL270253,BL279790,BL277057,BL329093
BL234908,BL237116,BL281227,BL287002,BL285059,BL275384,BL275384,BL329182
BL231749,BL235818,BL281230,BL283894,BL283894,BL276648,BL272654,BL329183
BL234906,BL238753,BL278225,BL282154,BL284253,BL272654,BL270579,BL329184
BL231646,BL231646,BL276960,BL252700,BL287002,BL270253,BL278225,BL329204
BL235088,BL234908,BL275384,BL256250,BL255496,BL270579,BL278129,BL329263
BL201089,BL235474,BL277177,BL255496,BL252700,BL256304,BL256296,BL329264
BL221093,BL234906,BL278129,BL255241,BL255241,BL256296,BL265469,BL329265
BL224167,BL234871,BL271539,BL276610,BL277717,BL255912,BL265955,BL329409
BL221394,BL235079,BL274402,BL267859,BL276900,BL249434,BL268493,BL329410
BL177244,BL228280,BL272555,BL268313,BL268292,BL268493,BL267552,BL329414
BL221885,BL235531,BL272620,BL265142,BL266406,BL265961,BL269547,BL329422
BL226478,BL231749,BL270456,BL282719,BL285328,BL267552,BL265961,BL329428
BL239798,BL230354,BL269923,BL283140,BL282346,BL263096,BL318776,BL329434
BL238958,BL221093,BL270253,BL283150,BL283150,BL318776,BL324361,BL329514
BL235667,BL224479,BL272630,BL284253,BL293381,BL311756,BL320194,BL329515
BL241299,BL224167,BL269464,BL293840,BL293840,BL324361,BL317226,BL329554
BL238559,BL221394,BL282346,BL296173,BL296173,BL319181,BL323559,BL338278
BL240392,BL174967,BL283150,BL284931,BL285607,BL328763,BL328763,BL338406
BL228609,BL202268,BL284253,BL282856,BL285266,BL323559,BL320561,BL320561
BL224479,BL226994,BL255241,BL282871,BL282449,BL317226,BL328698,BL329900
BL243887,BL226478,BL252700,BL285607,BL282828,BL324679,BL318401,BL329930
BL243427,BL221885,BL256472,BL291417,BL282856,BL324687,BL320897,BL329992
BL243413,BL240380,BL255496,BL282449,BL281393,BL320897,BL316538,BL339513
BL252803,BL240488,BL277717,BL282828,BL295940,BL328253,BL328253,BL330224
BL251803,BL240392,BL279673,BL292721,BL293839,BL322048,BL320420,BL331102
BL251813,BL239854,BL268514,BL293839,BL294352,BL318401,BL319181,BL331456
BL249939,BL228609,BL268292,BL288785,BL288785,BL321238,BL329263,BL331556
BL249185,BL235088,BL265955,BL293381,BL295514,BL328698,BL328332,BL291377
BL251721,BL241299,BL267827,BL294352,BL295461,BL321113,BL328790,BL292069
BL248073,BL243887,BL265961,BL295940,BL294010,BL318308,BL328771,BL315334
BL243779,BL249221,BL264269,BL294010,BL294485,BL319690,BL329264,BL315654
BL249221,BL249064,BL266406,BL294485,BL291417,BL316538,BL329681,BL315984
BL249193,BL248414,BL283140,BL285266,BL288292,BL328771,BL300324,BL316538
BL244143,BL249434,BL296173,BL282872,BL282871,BL328332,BL298746,BL316584
BL249838,BL250867,BL284931,BL281393,BL283512,BL320561,BL310425,BL316906
BL256296,BL248073,BL282871,BL283512,BL299028,BL329701,BL321113,BL317226
BL256294,BL249131,BL285607,BL288292,BL299117,BL315984,BL324896,BL341962
BL256630,BL244143,BL284815,BL285601,BL291303,BL298746,BL321912,BL342403
BL256669,BL249193,BL282449,BL295461,BL300812,BL312030,BL315654,BL342736
BL258305,BL243779,BL282828,BL285485,BL298052,BL308954,BL319690,BL342869
BL256132,BL249838,BL285485,BL298518,BL300324,BL300812,BL324687,BL343059
BL255241,BL243298,BL282856,BL298137,BL298518,BL296173,BL319691,BL343060
BL255284,BL248205,BL281393,BL291303,BL301560,BL321651,BL300596,BL344353
BL258313,BL256630,BL295461,BL292293,BL298137,BL321673,BL315334,BL344372
BL265203,BL261982,BL292721,BL296934,BL299971,BL320284,BL308954,BL344501
BL263658,BL256294,BL293839,BL300812,BL300612,BL315654,BL311009,BL325643
BL264554,BL257815,BL293381,BL298052,BL300608,BL320194,BL309070,BL262450
BL264572,BL254713,BL293840,BL299490,BL300596,BL292069,BL320284,BL257815
BL267174,BL255284,BL294352,BL299117,BL297911,BL295461,BL324679,BL258203
BL263233,BL256111,BL295940,BL268829,BL291377,BL294485,BL321651,BL258305
BL265827,BL255912,BL289775,BL309430,BL281227,BL284253,BL284165,BL258313
BL263923,BL256472,BL294010,BL309413,BL276648,BL284931,BL292069,BL258361
BL262947,BL256771,BL291417,BL300612,BL276610,BL288785,BL294485,BL278129
BL265252,BL258569,BL288292,BL300596,BL221885,BL285328,BL295514,BL278225
BL258203,BL265203,BL282872,BL300608,BL284815,BL282828,BL282871,BL280251
BL256304,BL267174,BL285458,BL297911,BL284931,BL282856,BL282856,BL268493
BL254415,BL264572,BL283540,BL292894,BL276960,BL283894,BL283894,BL268525
BL256250,BL263923,BL298518,BL291377,BL311530,BL285607,BL282828,BL268721
BL258581,BL264562,BL298137,BL282346,BL311756,BL284815,BL284931,BL268829
BL256771,BL262947,BL292293,BL277400,BL282719,BL284165,BL295461,BL268909
BL256472,BL263233,BL291303,BL285328,BL282786,BL281393,BL285458,BL268988
BL255285,BL263658,BL298052,BL221394,BL285458,BL285458,BL283512,BL269077
BL258569,BL251813,BL300812,BL221093,BL283223,BL285485,BL285485,BL269186
BL267016,BL254693,BL299530,BL284815,BL285485,BL294352,BL294352,BL269238
BL269515,BL256304,BL298746,BL276900,BL298746,BL283512,BL283048,BL269519
BL267552,BL256296,BL291377,BL276648,BL292293,BL283048,BL268313,BL269547
BL268493,BL258203,BL276610,BL283048,BL296934,BL267174,BL266251,BL269624
BL264763,BL256250,BL282719,BL283330,BL299490,BL264572,BL265827,BL269673
BL268829,BL258043,BL280251,BL285059,BL299530,BL264562,BL262947,BL269818
BL269818,BL266977,BL285328,BL282786,BL301737,BL268313,BL267931,BL269923
BL269805,BL268493,BL297911,BL285458,BL309413,BL268829,BL264262,BL270111
BL264762,BL271396,BL221885,BL298746,BL309430,BL262947,BL268375,BL270456
BL269822,BL268187,BL221093,BL299530,BL308954,BL266251,BL268829,BL270579
BL268695,BL269824,BL214824,BL301737,BL315654,BL267169,BL264572,BL271061
BL269464,BL269782,BL277689,BL311530,BL309070,BL283223,BL284253,BL276826
BL267819,BL269518,BL285266,BL309070,BL317226,BL295514,BL283223,BL282346
BL265955,BL265415,BL277400,BL310348,BL310348,BL272736,BL265742,BL308954
BL268721,BL267552,BL276900,BL315654,BL327259,BL265142,BL274402,BL309070
BL249064,BL269822,BL279790,BL311626,BL319181,BL268201,BL270111,BL297911
BL249131,BL267931,BL276648,BL316132,BL311235,BL269077,BL328496,BL310425
BL249938,BL269818,BL279056,BL311390,BL315334,BL270456,BL328081,BL310473
BL251616,BL268514,BL283512,BL310475,BL321917,BL329793,BL329025,BL311009
BL265742,BL267016,BL282154,BL315334,BL320039,BL328506,BL329514,BL311032
BL265748,BL264630,BL283330,BL311235,BL318401,BL328521,BL328400,BL311235
BL267827,BL266024,BL283894,BL265469,BL319085,BL328081,BL328802,BL311390
BL264630,BL268721,BL282786,BL268529,BL322048,BL328400,BL329410,BL311530
BL267859,BL270353,BL266977,BL265252,BL318308,BL328865,BL329554,BL311756
BL265961,BL265955,BL269186,BL265827,BL321912,BL329934,BL328666,BL312030
BL268375,BL249938,BL266039,BL268525,BL323559,BL329992,BL329091,BL312818
BL266676,BL249935,BL267552,BL311756,BL316906,BL329554,BL329515,BL298746
BL263112,BL249678,BL265469,BL312030,BL311390,BL329093,BL329031,BL321515
BL264833,BL251721,BL265827,BL310425,BL315984,BL328151,BL328502,BL321673
BL260471,BL268375,BL258361,BL309165,BL316584,BL329031,BL329093,BL321912
BL261839,BL268695,BL258203,BL311032,BL319310,BL329025,BL330645,BL321917
BL264270,BL267859,BL256136,BL256794,BL320420,BL330645,BL328625,BL322048
BL264277,BL265961,BL256669,BL258203,BL324896,BL330619,BL328613,BL255285
BL254693,BL269082,BL255714,BL257815,BL321515,BL329091,BL329024,BL323453
BL256136,BL267819,BL256304,BL262804,BL266977,BL309070,BL293840,BL255714
BL252700,BL267827,BL268576,BL266977,BL268375,BL299028,BL296173,BL255912
BL254713,BL264262,BL268529,BL269673,BL265827,BL293840,BL328865,BL262593
BL255912,BL265742,BL268375,BL271576,BL268525,BL294140,BL329409,BL262947
BL265469,BL265748,BL268909,BL269186,BL310425,BL329409,BL299028,BL263096
BL264030,BL265252,BL268829,BL268375,BL311009,BL330224,BL330224,BL264269
BL262812,BL266676,BL267931,BL272620,BL311032,BL329265,BL329265,BL264270
BL262110,BL262488,BL271576,BL268187,BL309165,BL328790,BL329701,BL264277
BL250043,BL262804,BL243518,BL268576,BL322278,BL328802,BL328506,BL264562
BL252667,BL264030,BL262110,BL269923,BL320897,BL331102,BL329002,BL264572
BL252657,BL258305,BL262593,BL243518,BL319691,BL328496,BL338406,BL264630
BL251802,BL256136,BL263658,BL262593,BL319690,BL329182,BL331456,BL264940
BL255496,BL257124,BL261982,BL262110,BL320479,BL328625,BL329184,BL265142
BL264384,BL255285,BL262268,BL267931,BL320421,BL328613,BL329182,BL265252
BL264386,BL256132,BL260471,BL269238,BL312030,BL329900,BL329992,BL271539
BL261887,BL255241,BL258569,BL265493,BL318776,BL329930,BL328151,BL272312
BL258040,BL264833,BL270251,BL268909,BL321651,BL328162,BL329900,BL272504
BL262450,BL263112,BL269547,BL268721,BL321673,BL328502,BL329930,BL272558
BL257815,BL264269,BL269822,BL269547,BL268829,BL329002,BL328521,BL272620
BL261982,BL265469,BL270296,BL270296,BL324679,BL328666,BL330619,BL272654
BL266406,BL263445,BL269824,BL267552,BL321283,BL330021,BL329934,BL272736
BL262268,BL262812,BL270111,BL268201,BL320284,BL329184,BL328162,BL273240
BL266251,BL264277,BL273240,BL266039,BL324687,BL329204,BL331102,BL274107
BL264940,BL255496,BL265252,BL267016,BL267552,BL329183,BL330764,BL274109
BL263445,BL252657,BL268525,BL268988,BL321238,BL330764,BL330150,BL318308
BL263522,BL249185,BL269673,BL270253,BL321113,BL241337,BL329204,BL318401
BL265493,BL250043,BL267016,BL270456,BL311626,BL298137,BL335528,BL318776
BL262837,BL251802,BL268187,BL269518,BL310473,BL311235,BL239710,BL319085
BL262593,BL264386,BL265493,BL272312,BL310475,BL329514,BL310473,BL319181
BL255501,BL264940,BL272654,BL272654,BL257815,BL329515,BL824236,BL319310
BL257124,BL256669,BL269782,BL272284,BL256669,BL824236,BL258305,BL319690
BL256111,BL263002,BL269515,BL269519,BL269673,BL240745,BL256630,BL319691
BL250103,BL262450,BL272312,BL269805,BL269923,BL243518,BL262268,BL320039
BL249813,BL262268,BL269238,BL270279,BL265469,BL262268,BL256250,BL320194
BL272504,BL265827,BL271621,BL269782,BL266039,BL256630,BL250867,BL329681
BL277689,BL266406,BL272284,BL269515,BL268576,BL249678,BL301737,BL320284
BL284815,BL264384,BL268988,BL269818,BL269082,BL250103,BL262804,BL320288
BL282154,BL261839,BL268695,BL269824,BL267931,BL244847,BL270279,BL329793
BL277177,BL265493,BL270279,BL264940,BL268187,BL244046,BL267819,BL338865
BL283512,BL262837,BL269518,BL268514,BL268201,BL263923,BL266039,BL339093
BL276900,BL263522,BL269805,BL249221,BL269238,BL264386,BL268201,BL329934
BL272284,BL262593,BL269818,BL244143,BL240639,BL269673,BL271539,BL252667
BL273705,BL260471,BL268721,BL254713,BL243518,BL266024,BL269673,BL235474
BL276960,BL266251,BL271396,BL256771,BL262268,BL262804,BL268721,BL235542
BL274402,BL261887,BL269519,BL257672,BL261982,BL270279,BL267016,BL235667
BL278225,BL252667,BL269082,BL256111,BL265493,BL268187,BL271061,BL237452
BL281230,BL255501,BL249221,BL255912,BL271576,BL263622,BL276900,BL243413
BL283540,BL250103,BL258040,BL256294,BL269547,BL269818,BL269923,BL243518
BL282786,BL252803,BL256250,BL256132,BL273240,BL267016,BL273240,BL243812
BL283140,BL251616,BL255501,BL256296,BL269186,BL273240,BL311235,BL243923
BL271621,BL249813,BL254693,BL256304,BL267016,BL265252,BL300612,BL265742
BL272169,BL281227,BL256771,BL256669,BL265252,BL268721,BL311390,BL265827
BL270296,BL284815,BL255284,BL258043,BL272654,BL276900,BL311756,BL266024
BL274101,BL277689,BL256794,BL255285,BL272312,BL269238,BL319310,BL266039
BL272736,BL282449,BL256630,BL255284,BL270251,BL310425,BL320039,BL266045
BL271061,BL275384,BL257815,BL256630,BL270456,BL300612,BL321515,BL240392
BL270279,BL272284,BL256296,BL255501,BL269515,BL315334,BL322278,BL240639
BL272630,BL277509,BL256132,BL248517,BL269782,BL300596,BL311626,BL262268
BL268255,BL276960,BL255912,BL249935,BL269518,BL320039,BL316906,BL284165
BL282871,BL272312,BL256111,BL263658,BL270279,BL311626,BL311530,BL284253
BL282872,BL275777,BL257672,BL260471,BL268988,BL319310,BL301560,BL284815
BL282346,BL274402,BL256294,BL261982,BL268721,BL301560,BL298137,BL284931
BL272312,BL281230,BL255285,BL258569,BL270111,BL322278,BL258361,BL285328
BL276610,BL283150,BL254713,BL263096,BL269519,BL321515,BL256304,BL285458
BL279673,BL282786,BL258043,BL262837,BL269818,BL316906,BL256794,BL295940
BL278129,BL270279,BL248517,BL258305,BL249221,BL311530,BL263002,BL296173
BL277509,BL271080,BL258305,BL249938,BL255501,BL310473,BL269519,BL296934
BL275777,BL271061,BL257455,BL252657,BL256250,BL311390,BL268909,BL309430
BL281227,BL270296,BL263096,BL250867,BL254713,BL254713,BL255241,BL310348
BL285458,BL274101,BL262837,BL255714,BL258043,BL258361,BL256132,BL299028
BL283048,BL274107,BL250867,BL257455,BL256294,BL256794,BL255284,BL299117
BL273704,BL272187,BL252657,BL252667,BL258361,BL264630,BL255912,BL299530
BL277057,BL272736,BL252667,BL264562,BL256630,BL264277,BL257815,BL299971
BL282449,BL282828,BL263233,BL262450,BL256296,BL268909,BL256294,BL300324
BL279559,BL291303,BL263445,BL262090,BL258203,BL269519,BL244467,BL300596
BL282856,BL282856,BL261839,BL263233,BL255285,BL269547,BL243779,BL300612
BL285067,BL282346,BL262947,BL267174,BL256132,BL258203,BL243812,BL301560
BL282828,BL282871,BL268211,BL264572,BL256304,BL256132,BL244847,BL301737
BL285607,BL282872,BL268221,BL267169,BL255912,BL256294,BL244143,BL320897
BL268292,BL273704,BL264572,BL264386,BL256794,BL257815,BL250103,BL321113
BL269673,BL279673,BL268220,BL265415,BL255284,BL248517,BL262593,BL321238
BL273240,BL276610,BL264630,BL268255,BL257672,BL243812,BL262837,BL321283
BL268313,BL278129,BL265742,BL267819,BL249185,BL243779,BL264277,BL321651
BL268576,BL282154,BL267174,BL265961,BL252803,BL244143,BL264562,BL322278
BL269624,BL285458,BL265748,BL264277,BL249193,BL251721,BL264630,BL254713
BL270193,BL277717,BL267859,BL267827,BL263096,BL262593,BL268525,BL255241
BL268909,BL283048,BL265415,BL264270,BL263658,BL268375,BL268988,BL255284
BL249678,BL272504,BL268255,BL264833,BL258313,BL267931,BL263622,BL267016
BL250867,BL283540,BL264277,BL268211,BL262837,BL264262,BL264386,BL267174
BL248414,BL277177,BL265142,BL268220,BL260471,BL264269,BL265493,BL267819
BL249434,BL292721,BL264270,BL266251,BL264030,BL265469,BL263923,BL267827
BL269824,BL273705,BL264262,BL268221,BL255714,BL268988,BL266024,BL267931
BL268187,BL278225,BL266676,BL264262,BL258305,BL265493,BL269624,BL268187
BL267931,BL291377,BL264833,BL264630,BL262812,BL269624,BL262450,BL268201
BL268211,BL292894,BL267169,BL262947,BL252657,BL264384,BL256669,BL268220
BL271396,BL279559,BL266251,BL266676,BL252667,BL268525,BL262812,BL268221
BL269519,BL285067,BL268313,BL266406,BL262450,BL265955,BL268292,BL268223
BL269518,BL285607,BL265203,BL265742,BL267169,BL256250,BL267169,BL268292
BL268514,BL293381,BL266024,BL266024,BL268221,BL256669,BL267174,BL268313
BL269238,BL268292,BL267819,BL268292,BL264572,BL265827,BL263096,BL248205
BL258361,BL268988,BL268493,BL268493,BL268211,BL268292,BL263445,BL248517
BL257455,BL268313,BL264940,BL269082,BL268220,BL264270,BL264269,BL249185
BL257672,BL272620,BL262804,BL263002,BL265961,BL263002,BL264270,BL249221
BL258570,BL268576,BL263002,BL262812,BL264270,BL263445,BL264940,BL249434
BL255714,BL271576,BL262809,BL258361,BL268255,BL264940,BL281230,BL249678
BL269186,BL276900,BL262812,BL262809,BL265955,BL274101,BL283316,BL249838
BL270353,BL277400,BL242468,BL244847,BL267819,BL280251,BL276826,BL249938
BL266024,BL251803,BL252803,BL249434,BL267827,BL283316,BL282786,BL250103
BL265415,BL270456,BL249938,BL252803,BL264277,BL274107,BL285328,BL256630
BL266977,BL269238,BL249193,BL249193,BL265742,BL276826,BL284815,BL256669
BL269082,BL269515,BL249434,BL249678,BL265415,BL285266,BL282346,BL256794
BL269782,BL266039,BL258313,BL235542,BL264833,BL282346,BL299530,BL279790
BL264262,BL270111,BL264030,BL258313,BL265142,BL311009,BL309413,BL276610
BL266039,BL269805,BL262090,BL262268,BL264262,BL297911,BL309430,BL281230
BL270111,BL269519,BL263112,BL264030,BL267174,BL295940,BL291377,BL276900
BL270456,BL201089,BL277509,BL263445,BL264630,BL293381,BL295940,BL276960
BL268220,BL257672,BL270353,BL270353,BL266251,BL291377,BL294854,BL277057
BL267169,BL257455,BL272187,BL272187,BL268493,BL282871,BL299971,BL282786
BL272620,BL258313,BL270579,BL277057,BL268313,BL294854,BL287002,BL282828
BL274109,BL255714,BL277057,BL271539,BL266024,BL301737,BL293381,BL282856
BL276826,BL268829,BL271889,BL272555,BL264940,BL299971,BL294010,BL282871
BL271080,BL269464,BL269624,BL272558,BL262804,BL285059,BL299117,BL283048
BL272654,BL269186,BL270193,BL271061,BL263002,BL294010,BL288292,BL283223
BL272187,BL269547,BL271080,BL270579,BL262809,BL288292,BL293839,BL283316
BL277400,BL272630,BL271061,BL274402,BL241337,BL299117,BL285059,BL283512
BL262488,BL268255,BL272558,BL279673,BL251616,BL287002,BL274107,BL293381
BL262809,BL269624,BL272169,BL277689,BL249678,BL293839,BL280251,BL294010
BL263096,BL270193,BL276826,BL277717,BL235542,BL282719,BL274109,BL294352
BL262804,BL267169,BL275777,BL277177,BL262090,BL274109,BL300812,BL294854
BL262090,BL276826,BL274109,BL271889,BL262947,BL282786,BL296934,BL295512
BL264269,BL280251,BL273705,BL279559,BL263445,BL281230,BL311032,BL295514
BL263002,BL270251,BL272736,BL274109,BL270579,BL296934,BL297911,BL234871
,BL274109,BL273704,BL272736,BL273210,BL311032,BL310348,BL234906
,BL264270,BL272504,BL269624,BL271539,BL310348,BL312030,BL234908
,BL262809,BL274107,BL273240,BL277057,BL309430,BL254713,BL324896
,BL262110,BL279559,BL272504,BL272558,BL300324,BL258313,BL287002
,BL263096,BL274101,BL270111,BL272555,BL309413,BL328425,BL275384
,BL262090,BL292894,BL269822,BL272187,BL299530,BL329414,BL298137
,,,BL274107,BL271080,BL258305,BL320479,BL285059
,,,BL274101,BL271889,BL262450,BL322048,BL130836
,,,BL275384,BL271061,BL257672,BL329793,BL324687
,,,BL275777,BL277689,BL258313,BL329428,BL198330
,,,,BL275384,BL262837,BL329434,BL240745
,,,,BL275777,BL328425,BL328488,BL267166
,,,,BL269624,BL321917,BL321673,BL266977
,,,,BL272736,BL329428,BL320421,BL267169
,,,,BL272504,BL329434,BL318308,BL182832
,,,,BL274107,BL328488,BL321238,BL269782
,,,,BL279559,BL329410,BL319085,BL300812
,,,,BL274109,BL321912,BL326898,BL311626
,,,,,BL320421,BL316584,BL342593
,,,,,BL320479,BL321917,BL283894
,,,,,BL324896,BL315984,BL276648
,,,,,BL320420,BL321283,BL294485
,,,,,BL319691,BL329183,BL295461
,,,,,BL316584,BL330021,BL320479
,,,,,BL321283,BL329095,BL269082
,,,,,BL319085,,BL824236
,,,,,BL329095,,BL285485
