12/31/2015,3/31/2016,6/30/2016,9/30/2016,12/31/2016,3/31/2017,6/30/2017,9/30/2017,12/31/2017,3/31/2018,6/30/2018,9/30/2018,12/31/2018,3/31/2019,6/30/2019,9/30/2019,12/31/2019,3/31/2020,6/30/2020,9/30/2020
BL188182,BL110843,BL095588,BL787561,BL125044,BL049152,BL049152,BL049152,BL078201,BL078201,BL078201,BL078201,BL078201,BL100329,BL231749,BL236984,BL237452,BL238555,BL239077,BL134368
BL172468,BL119025,BL091833,BL781540,BL231026,BL705651,BL705651,BL078201,BL127231,BL132673,BL126708,BL100838,BL100329,BL125044,BL228717,BL240745,BL238574,BL235318,BL238559,BL201089
BL178125,BL116118,BL097957,BL224761,BL231391,BL230896,BL224217,BL096577,BL126708,BL131645,BL132673,BL101755,BL122781,BL171317,BL235596,BL231749,BL238559,BL240639,BL239854,BL244467
BL177676,BL109181,BL099300,BL224161,BL530182,BL224217,BL224235,BL236099,BL132673,BL126064,BL137959,BL125044,BL125044,BL185999,BL234908,BL231646,BL236099,BL239854,BL234906,BL224671
BL172370,BL118169,BL107477,BL201068,BL231470,BL230892,BL118318,BL236101,BL137961,BL126708,BL137961,BL115963,BL101755,BL177244,BL234906,BL235667,BL235667,BL239077,BL240392,BL251616
BL787561,BL109116,BL097468,BL201239,BL201239,BL099828,BL121913,BL239854,BL137959,BL137959,BL136736,BL132673,BL171317,BL180772,BL235079,BL236099,BL235595,BL240392,BL240639,BL251721
BL178149,BL139029,BL097608,BL220450,BL231888,BL118200,BL123733,BL231470,BL121913,BL137961,BL125732,BL126718,BL173772,BL172297,BL236141,BL228717,BL234908,BL240488,BL234871,BL251802
BL177605,BL132673,BL091278,BL225447,BL225728,BL112344,BL117008,BL238122,BL122712,BL136736,BL134368,BL137789,BL173220,BL134368,BL237116,BL235318,BL234906,BL234906,BL234908,BL251813
BL158277,BL139622,BL099078,BL222132,BL225373,BL117389,BL117463,BL231391,BL125732,BL125732,BL125044,BL117463,BL214824,BL173772,BL235318,BL235596,BL238555,BL234908,BL241337,BL252700
BL172183,BL137396,BL101755,BL222206,BL231646,BL115177,BL115963,BL236132,BL118318,BL127231,BL122781,BL122781,BL185999,BL224671,BL238559,BL235595,BL240392,BL236099,BL240380,BL252803
BL172296,BL135295,BL096577,BL215247,BL225748,BL123733,BL117389,BL236283,BL115963,BL118318,BL117463,BL126708,BL166475,BL295461,BL240745,BL238559,BL240488,BL238559,BL238050,BL241337
BL172350,BL135296,BL125732,BL222459,BL232247,BL117008,BL118169,BL235068,BL134368,BL134368,BL117389,BL100557,BL174967,BL243427,BL239854,BL238555,BL235318,BL234871,BL235667,BL243779
BL130220,BL135323,BL114892,BL201076,BL230438,BL101755,BL101755,BL236293,BL136736,BL127514,BL115963,BL137959,BL180772,BL244829,BL238050,BL236141,BL238034,BL240380,BL228717,BL238050
BL177967,BL125991,BL116098,BL219937,BL230309,BL118318,BL100838,BL235684,BL122781,BL129346,BL171139,BL137961,BL172297,BL244847,BL240392,BL234908,BL236141,BL238050,BL235542,BL244046
BL178069,BL130220,BL118169,BL201504,BL230445,BL116463,BL116463,BL237649,BL125044,BL125044,BL166475,BL176024,BL171139,BL214824,BL240488,BL234906,BL240745,BL221885,BL235474,BL244143
BL178146,BL126708,BL122712,BL201508,BL228968,BL121913,BL122712,BL240176,BL118169,BL123733,BL173220,BL173772,BL126064,BL272654,BL240380,BL235088,BL199124,BL226994,BL226994,BL221093
BL781540,BL126718,BL118200,BL199547,BL225659,BL118169,BL137961,BL235072,BL123733,BL122712,BL170307,BL172547,BL134368,BL270579,BL199124,BL239854,BL230354,BL235474,BL237452,BL221394
BL092761,BL124813,BL116682,BL214824,BL225988,BL115963,BL141196,BL230559,BL117008,BL122781,BL162849,BL142630,BL224671,BL273240,BL234871,BL240392,BL234871,BL231749,BL231749,BL231646
BL116098,BL125739,BL125739,BL199825,BL219074,BL117463,BL139613,BL238918,BL117389,BL117389,BL142630,BL185999,BL244847,BL269673,BL235775,BL240488,BL231749,BL235667,BL231646,BL231749
BL116118,BL124880,BL115999,BL213523,BL224167,BL093424,BL130448,BL234983,BL116463,BL115963,BL168280,BL194448,BL226994,BL271621,BL235542,BL237116,BL228717,BL231646,BL238753,BL238559
BL093424,BL128933,BL109116,BL201072,BL228427,BL107829,BL126708,BL235595,BL117463,BL116463,BL126064,BL193563,BL199124,BL268909,BL235474,BL238574,BL235596,BL255714,BL251721,BL238753
BL093478,BL124892,BL162849,BL214863,BL230892,BL100838,BL125044,BL241177,BL171139,BL117463,BL176024,BL185332,BL202268,BL270253,BL237452,BL228280,BL228280,BL244467,BL252667,BL239077
BL116455,BL123144,BL171983,BL213543,BL229887,BL110843,BL125732,BL235071,BL166932,BL171139,BL171317,BL173220,BL270579,BL269923,BL236984,BL234871,BL235474,BL252700,BL251813,BL265493
BL097608,BL130841,BL172861,BL222239,BL201183,BL086576,BL122781,BL228717,BL168280,BL170307,BL100838,BL166475,BL271889,BL271889,BL230354,BL235474,BL231646,BL251802,BL251802,BL239854
BL101669,BL123733,BL132673,BL213366,BL227762,BL078201,BL131645,BL225659,BL171039,BL173503,BL100557,BL181844,BL271576,BL285485,BL235595,BL237452,BL243812,BL252667,BL255285,BL265955
BL101755,BL118506,BL136201,BL530182,BL213567,BL112803,BL134368,BL238034,BL173220,BL166932,BL126718,BL180772,BL275384,BL288292,BL228280,BL235775,BL246641,BL255241,BL258203,BL265961
BL117008,BL124773,BL142630,BL201089,BL228623,BL116455,BL126464,BL238078,BL170307,BL173220,BL158726,BL171139,BL268988,BL281393,BL236099,BL230354,BL249938,BL255284,BL249221,BL266251
BL102070,BL132988,BL182831,BL226681,BL227743,BL124272,BL144437,BL237265,BL173503,BL158726,BL137789,BL172297,BL270253,BL283140,BL235088,BL226994,BL243923,BL243413,BL248205,BL100329
BL078201,BL130842,BL174773,BL222698,BL231159,BL122712,BL158726,BL236579,BL158726,BL162849,BL131645,BL131645,BL270251,BL279056,BL231646,BL235684,BL244847,BL248205,BL244046,BL196349
BL116682,BL125732,BL174775,BL201183,BL200939,BL126464,BL136736,BL234418,BL168031,BL142630,BL173772,BL126064,BL538122,BL291890,BL235667,BL243413,BL244046,BL251616,BL249678,BL187278
BL098814,BL126504,BL172037,BL220471,BL222206,BL137959,BL137959,BL236095,BL166475,BL168031,BL172547,BL158726,BL283150,BL252700,BL235684,BL243812,BL238753,BL250867,BL251616,BL173772
BL094357,BL129672,BL171550,BL225029,BL219937,BL139613,BL078201,BL235410,BL172104,BL168280,BL178125,BL134368,BL288292,BL256794,BL243812,BL249185,BL239077,BL249221,BL249838,BL174967
BL107829,BL122781,BL174456,BL225996,BL224761,BL137961,BL095797,BL235284,BL169529,BL166475,BL180772,BL136736,BL285485,BL258040,BL246641,BL248205,BL238050,BL249938,BL249938,BL199124
BL101668,BL125435,BL140384,BL096707,BL222132,BL141196,BL096577,BL238050,BL173772,BL171039,BL185332,BL171317,BL279056,BL258361,BL243298,BL244046,BL237116,BL252803,BL252803,BL256132
BL130448,BL127593,BL172547,BL101755,BL199825,BL126718,BL124533,BL227109,BL172547,BL171317,BL172296,BL221093,BL283316,BL279790,BL249064,BL243779,BL240380,BL249185,BL249185,BL256250
BL092944,BL124533,BL166932,BL092944,BL222292,BL126708,BL126064,BL230313,BL172496,BL176024,BL181844,BL193613,BL283330,BL277057,BL249935,BL244467,BL239854,BL262812,BL228280,BL256296
BL096707,BL129786,BL171739,BL100568,BL201068,BL129346,BL126718,BL236071,BL171317,BL182831,BL178737,BL244847,BL258043,BL272555,BL248205,BL240639,BL248205,BL255285,BL252700,BL256304
BL093267,BL139613,BL172496,BL129672,BL224235,BL125739,BL130220,BL230354,BL176024,BL100838,BL221394,BL243413,BL268525,BL268525,BL249838,BL240380,BL250103,BL249838,BL249434,BL262463
BL055917,BL136736,BL166120,BL125991,BL227760,BL125732,BL129346,BL235540,BL182831,BL137789,BL221093,BL243045,BL268529,BL268211,BL243923,BL238753,BL249838,BL251813,BL255714,BL262812
BL049152,BL127513,BL174602,BL123241,BL228262,BL125044,BL170307,BL235318,BL100838,BL126718,BL189502,BL224285,BL272558,BL268221,BL244467,BL239077,BL251802,BL221093,BL240745,BL263002
BL093319,BL136812,BL166181,BL132103,BL213366,BL131645,BL172547,BL237313,BL137789,BL173772,BL199825,BL222206,BL268221,BL268220,BL244067,BL241337,BL251813,BL224671,BL221093,BL263445
BL115999,BL137828,BL167117,BL130220,BL219243,BL132103,BL173220,BL228822,BL142630,BL172296,BL213902,BL226478,BL269547,BL272558,BL244847,BL239798,BL250043,BL238753,BL248517,BL263622
BL097468,BL129549,BL171718,BL125732,BL224543,BL158726,BL169529,BL235531,BL126718,BL178125,BL201089,BL222750,BL289775,BL268529,BL244829,BL238034,BL251721,BL243923,BL221885,BL263923
BL083751,BL127231,BL173493,BL122640,BL224255,BL136736,BL137789,BL239922,BL129346,BL185332,BL193613,BL214863,BL283894,BL292293,BL240639,BL238050,BL243887,BL237452,BL243413,BL228280
BL116463,BL132515,BL176024,BL126464,BL224775,BL134368,BL132673,BL243427,BL127514,BL193275,BL199124,BL202268,BL239854,BL284033,BL239077,BL249838,BL244143,BL235596,BL243923,BL264262
BL115808,BL123241,BL132988,BL121913,BL224217,BL096577,BL127231,BL239964,BL126064,BL180772,BL194448,BL199124,BL240380,BL285328,BL238753,BL251803,BL243413,BL201089,BL235596,BL228717
BL097957,BL130448,BL137961,BL129346,BL230857,BL095797,BL142630,BL234906,BL162849,BL185999,BL193563,BL214824,BL239692,BL199124,BL239798,BL250103,BL243779,BL221394,BL224671,BL264386
BL098004,BL121913,BL130841,BL125739,BL201089,BL130220,BL171317,BL234908,BL131645,BL172547,BL214863,BL270193,BL237313,BL289775,BL241337,BL249131,BL242468,BL173772,BL201089,BL329701
BL115963,BL158277,BL136736,BL126064,BL222566,BL132515,BL172318,BL242695,BL172296,BL221394,BL224167,BL268313,BL243298,BL283316,BL238574,BL251802,BL244467,BL174967,BL219943,BL320420
BL096577,BL144437,BL132103,BL129786,BL225447,BL126064,BL172296,BL238075,BL172297,BL215247,BL224671,BL268988,BL243297,BL285266,BL238034,BL251721,BL248517,BL269923,BL214824,BL320421
BL130841,BL166932,BL165804,BL126718,BL230326,BL127514,BL172297,BL235438,BL178125,BL213902,BL202268,BL269673,BL248205,BL294352,BL236282,BL251813,BL250867,BL271061,BL221394,BL330021
BL121825,BL166120,BL170307,BL132988,BL225419,BL124533,BL172183,BL238849,BL185332,BL193613,BL214824,BL270251,BL240488,BL283512,BL238555,BL250043,BL249434,BL274402,BL173772,BL330150
BL099828,BL144184,BL170403,BL122712,BL230313,BL127231,BL168280,BL236647,BL181844,BL194448,BL222206,BL273240,BL238555,BL272169,BL251803,BL243887,BL100329,BL202268,BL182832,BL330619
BL121913,BL140384,BL158286,BL124272,BL220450,BL122781,BL171039,BL243432,BL193275,BL199124,BL224285,BL275384,BL241337,BL282719,BL251813,BL242468,BL134368,BL214824,BL276960,BL330645
BL118041,BL166183,BL141196,BL134368,BL220471,BL130448,BL171139,BL235542,BL187176,BL221093,BL273704,BL270279,BL238050,BL283894,BL250103,BL243923,BL174967,BL199124,BL202268,BL330764
BL131645,BL171146,BL177955,BL126708,BL234418,BL169529,BL172350,BL238253,BL185700,BL199825,BL273705,BL275454,BL236984,BL283330,BL251802,BL246641,BL171317,BL100329,BL199124,BL341524
BL087301,BL140107,BL178069,BL131645,BL230734,BL171739,BL228262,BL137789,BL180772,BL189502,BL269464,BL272654,BL236282,BL239798,BL249131,BL251616,BL173772,BL134368,BL198366,BL341797
BL132103,BL137095,BL172183,BL142630,BL226498,BL172296,BL235542,BL173503,BL178737,BL202268,BL268695,BL268292,BL239077,BL238555,BL251721,BL100329,BL202268,BL124792,BL198330,BL305168
BL100838,BL137961,BL171146,BL137789,BL226681,BL172297,BL235937,BL238555,BL185999,BL193563,BL269849,BL258040,BL235595,BL237313,BL250043,BL110020,BL221394,BL124793,BL134368,BL324361
BL095780,BL141196,BL173772,BL136736,BL230325,BL172547,BL231391,BL235815,BL221394,BL224671,BL271080,BL255714,BL235818,BL238559,BL243887,BL174967,BL221093,BL087300,BL110020,BL324679
BL100413,BL166541,BL171139,BL130448,BL225689,BL132673,BL226478,BL238574,BL215247,BL224761,BL268517,BL279264,BL235596,BL236141,BL243427,BL171317,BL214824,BL110020,BL100329,BL335528
BL117463,BL172276,BL172276,BL136201,BL230531,BL137789,BL235007,BL249019,BL221093,BL225447,BL271061,BL277057,BL238034,BL235775,BL244143,BL173772,BL224671,BL228717,BL174967,BL326898
BL110843,BL172296,BL172278,BL137959,BL225034,BL144437,BL235531,BL238753,BL194448,BL222292,BL264763,BL272554,BL236141,BL235596,BL244046,BL180772,BL226994,BL235542,BL230354,BL328081
BL121990,BL167117,BL174967,BL137961,BL230328,BL161328,BL235547,BL244067,BL219937,BL214824,BL275384,BL268008,BL244067,BL235595,BL243297,BL221885,BL228609,BL230354,BL270253,BL328151
BL117204,BL171317,BL178125,BL132673,BL232272,BL142630,BL235069,BL249772,BL213902,BL214863,BL268525,BL268211,BL242468,BL237452,BL243413,BL202268,BL201089,BL228280,BL276610,BL328162
BL130842,BL165227,BL178149,BL137828,BL230559,BL172318,BL172861,BL238559,BL199825,BL219074,BL268514,BL268529,BL238574,BL239077,BL243779,BL214824,BL187278,BL276610,BL276648,BL328253
BL099672,BL171139,BL139613,BL144184,BL226478,BL172350,BL173503,BL242924,BL193613,BL224285,BL272554,BL269849,BL244829,BL235667,BL249185,BL228609,BL262593,BL278225,BL272504,BL328332
BL095588,BL178737,BL129786,BL130841,BL225029,BL173220,BL230445,BL238607,BL189502,BL222206,BL270251,BL268525,BL240639,BL238050,BL251616,BL224671,BL261839,BL270111,BL279790,BL328400
BL110020,BL173847,BL127231,BL117204,BL225043,BL168280,BL231142,BL230873,BL194359,BL220471,BL270253,BL705651,BL243923,BL238034,BL100329,BL201089,BL264562,BL278129,BL272558,BL328425
BL099899,BL178069,BL123733,BL117008,BL225996,BL170307,BL227743,BL235158,BL193563,BL221885,BL101755,BL272504,BL244467,BL236984,BL174967,BL187278,BL264386,BL272558,BL268187,BL328488
BL109181,BL137789,BL172104,BL109181,BL230726,BL172183,BL231131,BL242126,BL224761,BL264762,BL272312,BL270296,BL248517,BL248517,BL171317,BL199124,BL264384,BL272504,BL269818,BL328490
BL099712,BL158726,BL178510,BL112803,BL226273,BL171039,BL228019,BL235160,BL222292,BL264003,BL272284,BL235667,BL246641,BL243297,BL177244,BL134368,BL263923,BL272620,BL267827,BL328496
BL108583,BL165615,BL201762,BL101469,BL101755,BL171139,BL228717,BL249064,BL201089,BL100557,BL272504,BL239854,BL243518,BL244467,BL173772,BL263522,BL264269,BL266039,BL268211,BL328502
BL121714,BL165804,BL173193,BL099300,BL122712,BL166932,BL235438,BL241299,BL221929,BL101755,BL270193,BL238050,BL240745,BL238574,BL180772,BL263923,BL283330,BL268211,BL269186,BL328506
BL086576,BL187176,BL189506,BL096577,BL130220,BL171393,BL173772,BL242204,BL219074,BL255714,BL270212,BL240392,BL244046,BL240639,BL202268,BL261839,BL279056,BL268220,BL269082,BL328521
BL101469,BL180540,BL171393,BL095780,BL125732,BL228097,BL174967,BL235839,BL214765,BL705651,BL705651,BL238958,BL235684,BL241337,BL221394,BL264384,BL284165,BL269082,BL269782,BL328613
BL098526,BL182831,BL185767,BL099078,BL122781,BL228717,BL226681,BL237938,BL214863,BL235318,BL235079,BL239692,BL235318,BL243413,BL224167,BL264269,BL281230,BL271576,BL272187,BL328625
BL109116,BL174967,BL195365,BL095797,BL132103,BL231888,BL235088,BL240753,BL214824,BL260439,BL235088,BL240380,BL228717,BL243518,BL226994,BL265955,BL283316,BL269782,BL268221,BL328666
BL099300,BL174075,BL180772,BL115963,BL129346,BL234418,BL230309,BL241455,BL222750,BL256132,BL255714,BL243298,BL236101,BL246641,BL224671,BL283316,BL283048,BL265742,BL265142,BL328698
BL117389,BL178146,BL182330,BL118318,BL126064,BL235540,BL235079,BL240745,BL224285,BL256136,BL255496,BL248205,BL236099,BL244046,BL228609,BL279056,BL280251,BL268221,BL266977,BL328763
BL121633,BL169529,BL181418,BL116098,BL125739,BL235007,BL232272,BL244046,BL224082,BL255726,BL260439,BL248517,BL235542,BL240745,BL201089,BL276960,BL277400,BL266977,BL265252,BL328771
BL098910,BL171393,BL781540,BL116118,BL126718,BL231391,BL235068,BL249131,BL255241,BL257542,BL256136,BL242547,BL235474,BL243923,BL185999,BL281227,BL278225,BL269186,BL266045,BL328790
BL099078,BL172183,BL787561,BL117463,BL129672,BL228200,BL236000,BL243923,BL100557,BL255284,BL257672,BL243779,BL238753,BL242468,BL134368,BL281230,BL279790,BL267827,BL272736,BL328802
BL098312,BL174456,BL172922,BL117389,BL124272,BL235937,BL230726,BL248205,BL101755,BL263678,BL257455,BL240488,BL237452,BL244067,BL264386,BL280251,BL277177,BL271539,BL271576,BL328851
BL109926,BL136201,BL185024,BL115808,BL134368,BL228296,BL236579,BL240766,BL254713,BL265038,BL256250,BL241337,BL237116,BL235684,BL264384,BL279790,BL276826,BL267819,BL272312,BL328865
BL100855,BL170307,BL173847,BL109926,BL126708,BL235073,BL235072,BL249185,BL252450,BL234418,BL257124,BL238559,BL235775,BL235318,BL263923,BL278225,BL278129,BL271080,BL269238,BL329002
BL112344,BL172037,BL177605,BL118671,BL131645,BL235072,BL238034,BL241467,BL705651,BL235438,BL267905,BL236984,BL235531,BL235542,BL262450,BL278129,BL274402,BL276960,BL270456,BL329024
BL122712,BL159612,BL189502,BL118506,BL137789,BL173503,BL235089,BL245412,BL242848,BL235079,BL263678,BL238034,BL228280,BL228717,BL263522,BL276826,BL274101,BL272312,BL269077,BL329025
BL095797,BL159503,BL178637,BL092761,BL132515,BL178737,BL238607,BL239532,BL243413,BL236984,BL272654,BL235595,BL230354,BL236101,BL264562,BL271080,BL272620,BL272187,BL268220,BL329031
BL118318,BL172104,BL181844,BL097468,BL142630,BL172861,BL231470,BL235088,BL249019,BL236674,BL264003,BL235818,BL234871,BL236099,BL283048,BL273210,BL268909,BL277057,BL272620,BL329091
BL122582,BL173493,BL175646,BL093267,BL132673,BL231646,BL235595,BL236367,BL226994,BL236101,BL264030,BL236141,BL235079,BL236282,BL283316,BL270251,BL270253,BL279790,BL277057,BL329093
BL132673,BL171983,BL185719,BL093319,BL136736,BL230438,BL235073,BL235775,BL235079,BL238034,BL264384,BL236282,BL234908,BL237116,BL281227,BL287002,BL285059,BL275384,BL275384,BL329182
BL118741,BL055917,BL202268,BL121714,BL130448,BL230445,BL235071,BL241290,BL235318,BL237265,BL267931,BL235596,BL231749,BL235818,BL281230,BL283894,BL283894,BL276648,BL272654,BL329183
BL122457,BL107829,BL185700,BL122582,BL136201,BL229887,BL235540,BL240542,BL260439,BL237649,BL266977,BL236674,BL234906,BL238753,BL278225,BL282154,BL284253,BL272654,BL270579,BL329184
BL100568,BL117389,BL189843,BL123902,BL137959,BL228019,BL222206,BL235765,BL256132,BL238958,BL264762,BL237522,BL231646,BL231646,BL276960,BL252700,BL287002,BL270253,BL278225,BL329204
BL136077,BL117463,BL185332,BL116463,BL137961,BL225447,BL224082,BL238528,BL252667,BL248205,BL268255,BL238035,BL235088,BL234908,BL275384,BL256250,BL255496,BL270579,BL278129,BL329263
BL118799,BL116682,BL201815,BL124533,BL135323,BL231131,BL221701,BL237116,BL255384,BL249131,BL269515,BL243297,BL201089,BL235474,BL277177,BL255496,BL252700,BL256304,BL256296,BL329264
BL105168,BL116098,BL180540,BL123733,BL100838,BL178149,BL224543,BL235818,BL256136,BL231470,BL271396,BL244067,BL221093,BL234906,BL278129,BL255241,BL255241,BL256296,BL265469,BL329265
BL119025,BL111757,BL187277,BL121633,BL112803,BL224479,BL224167,BL242125,BL256374,BL236071,BL267906,BL243295,BL224167,BL234871,BL271539,BL276610,BL277717,BL255912,BL265955,BL329409
BL122640,BL118200,BL184617,BL122457,BL097957,BL219937,BL228427,BL236314,BL256250,BL235088,BL269624,BL240807,BL221394,BL235079,BL274402,BL267859,BL276900,BL249434,BL268493,BL329410
BL111404,BL115177,BL195315,BL127231,BL096707,BL202738,BL192492,BL236995,BL255501,BL236282,BL236282,BL244829,BL177244,BL228280,BL272555,BL268313,BL268292,BL268493,BL267552,BL329414
BL118169,BL112803,BL178888,BL118741,BL095780,BL225034,BL200551,BL240639,BL236101,BL236099,BL235318,BL242204,BL221885,BL235531,BL272620,BL265142,BL266406,BL265961,BL269547,BL329422
BL111757,BL099672,BL182414,BL124813,BL095797,BL226681,BL194359,BL241524,BL234418,BL238753,BL236984,BL246359,BL226478,BL231749,BL270456,BL282719,BL285328,BL267552,BL265961,BL329428
BL118506,BL098312,BL184667,BL118041,BL101469,BL235547,BL194448,BL244553,BL235088,BL238555,BL238034,BL238574,BL239798,BL230354,BL269923,BL283140,BL282346,BL263096,BL318776,BL329434
BL136201,BL091833,BL192786,BL118169,BL115963,BL236282,BL192484,BL244143,BL236282,BL239692,BL237522,BL240639,BL238958,BL221093,BL270253,BL283150,BL283150,BL318776,BL324361,BL329514
BL092676,BL097468,BL187176,BL116455,BL118318,BL230726,BL235005,BL249974,BL235937,BL238559,BL235531,BL240753,BL235667,BL224479,BL272630,BL284253,BL293381,BL311756,BL320194,BL329515
BL092245,BL098526,BL190239,BL102070,BL109181,BL228262,BL235001,BL244469,BL236099,BL242468,BL236099,BL243923,BL241299,BL224167,BL269464,BL293840,BL293840,BL324361,BL317226,BL329554
BL178637,BL101469,BL214863,BL098526,BL117008,BL235071,BL235003,BL249926,BL238958,BL241337,BL236101,BL240745,BL238559,BL221394,BL282346,BL296173,BL296173,BL319181,BL323559,BL338278
