12/31/2015,3/31/2016,6/30/2016,9/30/2016,12/31/2016,3/31/2017,6/30/2017,9/30/2017,12/31/2017,3/31/2018,6/30/2018,9/30/2018,12/31/2018,3/31/2019,6/30/2019,9/30/2019,12/31/2019,3/31/2020,6/30/2020,9/30/2020
BL178737,BL078201,BL180602,BL092676,BL115808,BL231470,BL234418,BL249939,BL237522,BL240956,BL249064,BL243518,BL240392,BL174967,BL283150,BL284931,BL285607,BL328763,BL328763,BL338406
BL123045,BL101955,BL219937,BL093424,BL116098,BL235088,BL230559,BL239692,BL236984,BL240176,BL249131,BL242468,BL228609,BL202268,BL284253,BL282856,BL285266,BL323559,BL320561,BL320561
BL166183,BL092761,BL199547,BL122781,BL118506,BL226498,BL234983,BL240807,BL248414,BL243779,BL235684,BL244046,BL224479,BL226994,BL255241,BL282871,BL282449,BL317226,BL328698,BL329900
BL180540,BL102070,BL192683,BL129379,BL117463,BL236579,BL231888,BL244467,BL244829,BL243297,BL234418,BL235684,BL243887,BL226478,BL252700,BL285607,BL282828,BL324679,BL318401,BL329930
BL136736,BL087301,BL213572,BL127514,BL117389,BL235068,BL235421,BL239586,BL249550,BL235474,BL241299,BL234979,BL243427,BL221885,BL256472,BL291417,BL282856,BL324687,BL320897,BL329992
BL125739,BL093319,BL213666,BL118200,BL124533,BL230734,BL227762,BL243117,BL249288,BL238050,BL239692,BL224479,BL243413,BL240380,BL255496,BL282449,BL281393,BL320897,BL316538,BL339513
BL140107,BL096093,BL193129,BL124059,BL127231,BL238050,BL231749,BL242376,BL246349,BL235531,BL238559,BL228717,BL252803,BL240488,BL277717,BL282828,BL295940,BL328253,BL328253,BL330224
BL123733,BL092676,BL213543,BL127513,BL116455,BL235542,BL230531,BL237522,BL236071,BL237522,BL240639,BL162849,BL251803,BL240392,BL279673,BL292721,BL293839,BL322048,BL320420,BL331102
BL158726,BL101668,BL178737,BL125044,BL092761,BL235069,BL234979,BL236674,BL237649,BL243094,BL242468,BL235542,BL251813,BL239854,BL268514,BL293839,BL294352,BL318401,BL319181,BL331456
BL125991,BL098814,BL197421,BL123144,BL098526,BL235079,BL235410,BL241004,BL235438,BL242098,BL241337,BL235318,BL249939,BL228609,BL268292,BL288785,BL288785,BL321238,BL329263,BL331556
BL126064,BL097608,BL175124,BL124880,BL093319,BL226478,BL227109,BL234979,BL237644,BL243045,BL243295,BL237116,BL249185,BL235088,BL265955,BL293381,BL295514,BL328698,BL328332,BL291377
BL126161,BL100413,BL172297,BL125435,BL116463,BL219074,BL228822,BL238183,BL237415,BL245010,BL244046,BL236099,BL251721,BL241299,BL267827,BL294352,BL295461,BL321113,BL328790,BL292069
BL181261,BL100568,BL172350,BL124892,BL124892,BL224543,BL235839,BL236143,BL238260,BL245012,BL242547,BL235775,BL248073,BL243887,BL265961,BL295940,BL294010,BL318308,BL328771,BL315334
BL107508,BL101669,BL180603,BL108583,BL118169,BL222206,BL199547,BL242700,BL241004,BL237938,BL240753,BL236101,BL243779,BL249221,BL264269,BL294010,BL294485,BL319690,BL329264,BL315654
BL159612,BL093478,BL184611,BL110843,BL123733,BL224049,BL200939,BL235474,BL242468,BL236141,BL238958,BL238753,BL249221,BL249064,BL266406,BL294485,BL291417,BL316538,BL329681,BL315984
BL112803,BL093424,BL177676,BL100838,BL118671,BL228427,BL193563,BL228019,BL238559,BL240745,BL236674,BL234908,BL249193,BL248414,BL283140,BL285266,BL288292,BL328771,BL300324,BL316538
BL178743,BL115808,BL185999,BL115177,BL121633,BL225728,BL193613,BL241668,BL243649,BL238574,BL235474,BL234906,BL244143,BL249434,BL296173,BL282872,BL282871,BL328332,BL298746,BL316584
BL166541,BL111404,BL172370,BL116682,BL123902,BL224082,BL182831,BL243401,BL243298,BL237313,BL238035,BL234871,BL249838,BL250867,BL284931,BL281393,BL283512,BL320561,BL310425,BL316906
BL125732,BL116463,BL177608,BL106540,BL124813,BL192483,BL185332,BL238260,BL245010,BL240766,BL238050,BL230354,BL256296,BL248073,BL282871,BL283512,BL299028,BL329701,BL321113,BL317226
BL132988,BL118741,BL171317,BL099828,BL099300,BL194359,BL199825,BL240956,BL241455,BL239798,BL244143,BL228609,BL256294,BL249131,BL285607,BL288292,BL299117,BL315984,BL324896,BL341962
BL123241,BL117204,BL172296,BL107829,BL096577,BL192484,BL215247,BL234871,BL242547,BL236826,BL243094,BL228280,BL256630,BL244143,BL284815,BL285601,BL291303,BL298746,BL321912,BL342403
BL096093,BL118041,BL201761,BL112344,BL102070,BL192493,BL185999,BL236141,BL243779,BL240488,BL237313,BL231749,BL256669,BL249193,BL282449,BL295461,BL300812,BL312030,BL315654,BL342736
BL125435,BL108583,BL172318,BL101955,BL093424,BL192492,BL185339,BL241024,BL242695,BL246349,BL240745,BL231646,BL258305,BL243779,BL282828,BL285485,BL298052,BL308954,BL319690,BL342869
BL122781,BL094357,BL213523,BL097957,BL123241,BL234983,BL193129,BL238964,BL242700,BL243923,BL238574,BL234418,BL256132,BL249838,BL285485,BL298518,BL300324,BL300812,BL324687,BL343059
BL105980,BL109926,BL198335,BL055917,BL122640,BL235003,BL202268,BL236984,BL245332,BL243413,BL238555,BL236007,BL255241,BL243298,BL282856,BL298137,BL298518,BL296173,BL319691,BL343060
BL179037,BL106540,BL199825,BL078201,BL124880,BL235005,BL201089,BL231888,BL235531,BL246359,BL240807,BL235474,BL255284,BL248205,BL281393,BL291303,BL301560,BL321651,BL300596,BL344353
BL118200,BL112344,BL213510,BL049152,BL118200,BL235001,BL198335,BL240488,BL240753,BL243401,BL239854,BL235531,BL258313,BL256630,BL295461,BL292293,BL298137,BL321673,BL315334,BL344372
BL118671,BL105168,BL213789,BL086576,BL126464,BL235438,BL178125,BL235079,BL238050,BL244829,BL242204,BL213902,BL265203,BL261982,BL292721,BL296934,BL299971,BL320284,BL308954,BL344501
BL132515,BL115999,BL213366,BL144437,BL127514,BL227160,BL224978,BL231749,BL235474,BL242125,BL243427,BL201089,BL263658,BL256294,BL293839,BL300812,BL300612,BL315654,BL311009,BL325643
BL166932,BL114892,BL186144,BL158286,BL121913,BL231749,BL199124,BL236354,BL238034,BL194359,BL243923,BL219937,BL264554,BL257815,BL293381,BL298052,BL300608,BL320194,BL309070,BL262450
BL180772,BL115963,BL213567,BL159729,BL124059,BL235410,BL222016,BL240380,BL237265,BL235540,BL235540,BL224167,BL264572,BL254713,BL293840,BL299490,BL300596,BL292069,BL320284,BL257815
BL107477,BL116455,BL198369,BL165615,BL115177,BL231159,BL224479,BL240392,BL243094,BL231646,BL235542,BL225447,BL267174,BL255284,BL294352,BL299117,BL297911,BL295461,BL324679,BL258203
BL126708,BL098910,BL185702,BL159612,BL110843,BL234979,BL221093,BL237644,BL243045,BL228717,BL214765,BL222292,BL263233,BL256111,BL295940,BL268829,BL291377,BL294485,BL321651,BL258305
BL126718,BL100855,BL201504,BL139613,BL112344,BL230559,BL222750,BL235667,BL240176,BL231749,BL221885,BL214765,BL265827,BL255912,BL289775,BL309430,BL281227,BL284253,BL284165,BL258313
BL124603,BL098004,BL201508,BL172037,BL107829,BL235839,BL219937,BL243649,BL245412,BL234979,BL219937,BL221394,BL263923,BL256472,BL294010,BL309413,BL276648,BL284931,BL292069,BL258361
BL124773,BL095780,BL201068,BL137095,BL100568,BL227762,BL213902,BL237650,BL241524,BL230531,BL225659,BL174967,BL262947,BL256771,BL291417,BL300612,BL276610,BL288785,BL294485,BL278129
BL173193,BL093267,BL200452,BL172183,BL099828,BL231142,BL221394,BL243779,BL242607,BL201089,BL226478,BL221885,BL265252,BL258569,BL288292,BL300596,BL221885,BL285328,BL295514,BL278225
BL124813,BL100838,BL193586,BL168280,BL106540,BL227109,BL214863,BL242848,BL240729,BL214765,BL226994,BL226994,BL258203,BL265203,BL282872,BL300608,BL284815,BL282828,BL282871,BL280251
BL137828,BL101755,BL193613,BL174456,BL078201,BL230531,BL192493,BL238362,BL237313,BL225659,BL230354,BL224671,BL256304,BL267174,BL285458,BL297911,BL284931,BL282856,BL282856,BL268493
BL124272,BL092944,BL198679,BL166181,BL049152,BL227760,BL176024,BL231646,BL240745,BL230354,BL231646,BL239798,BL254415,BL264572,BL283540,BL292894,BL276960,BL283894,BL283894,BL268525
BL172861,BL099078,BL213902,BL172922,BL086576,BL226273,BL177299,BL100838,BL236367,BL226478,BL228717,BL237313,BL256250,BL263923,BL298518,BL291377,BL311530,BL285607,BL282828,BL268721
BL173220,BL099300,BL219074,BL158726,BL139613,BL235421,BL171146,BL101755,BL238078,BL228280,BL231749,BL241299,BL258581,BL264562,BL298137,BL282346,BL311756,BL284815,BL284931,BL268829
BL137789,BL096707,BL201239,BL170307,BL171983,BL228181,BL166475,BL115963,BL238574,BL228609,BL228262,BL238555,BL256771,BL262947,BL292293,BL277400,BL282719,BL284165,BL295461,BL268909
BL124880,BL099828,BL199124,BL171393,BL172104,BL228825,BL172104,BL125732,BL235284,BL224167,BL224479,BL235079,BL256472,BL263233,BL291303,BL285328,BL282786,BL281393,BL285458,BL268988
BL123901,BL095797,BL201072,BL165804,BL168280,BL227175,BL162849,BL122712,BL238753,BL224479,BL172297,BL235088,BL255285,BL263658,BL298052,BL221394,BL285458,BL285458,BL283512,BL269077
BL141196,BL091278,BL201076,BL171317,BL144184,BL193613,BL168031,BL126708,BL238528,BL222469,BL174967,BL243427,BL258569,BL251813,BL300812,BL221093,BL283223,BL285485,BL285485,BL269186
BL127231,BL099899,BL200990,BL172104,BL144437,BL195365,BL182835,BL118318,BL237938,BL174967,BL225447,BL243887,BL267016,BL254693,BL299530,BL284815,BL285485,BL294352,BL294352,BL269238
BL127514,BL095588,BL177299,BL171983,BL161328,BL199825,BL187176,BL118169,BL238281,BL172297,BL185999,BL241029,BL269515,BL256304,BL298746,BL276900,BL298746,BL283512,BL283048,BL269519
BL124258,BL096577,BL172999,BL159503,BL158726,BL182831,BL178737,BL117463,BL241299,BL172350,BL235667,BL244143,BL267552,BL256296,BL291377,BL276648,BL292293,BL283048,BL268313,BL269547
BL169529,BL097957,BL185070,BL141196,BL174456,BL200939,BL172496,BL215247,BL241337,BL181844,BL231470,BL249221,BL268493,BL258203,BL276610,BL283048,BL296934,BL267174,BL266251,BL269624
BL172999,BL083751,BL171039,BL130842,BL172183,BL213417,BL193275,BL224761,BL240639,BL178737,BL215247,BL252450,BL264763,BL256250,BL282719,BL283330,BL299490,BL264572,BL265827,BL269673
BL127593,BL086576,BL169529,BL135323,BL170307,BL185339,BL193850,BL222469,BL239798,BL235284,BL235775,BL242607,BL268829,BL258043,BL280251,BL285059,BL299530,BL264562,BL262947,BL269818
BL172922,BL105980,BL530182,BL162849,BL172278,BL185332,BL214765,BL225988,BL242376,BL235684,BL234871,BL248414,BL269818,BL266977,BL285328,BL282786,BL301737,BL268313,BL267931,BL269923
BL115177,BL122457,BL174011,BL172999,BL171317,BL193850,BL220860,BL221394,BL240542,BL235667,BL235596,BL249064,BL269805,BL268493,BL297911,BL285458,BL309413,BL268829,BL264262,BL270111
BL182414,BL123902,BL173220,BL171550,BL172748,BL178125,BL180772,BL158726,BL240488,BL235775,BL236141,BL251803,BL264762,BL271396,BL221885,BL298746,BL309430,BL262947,BL268375,BL270456
BL124514,BL123045,BL213349,BL167117,BL165804,BL200551,BL181844,BL137959,BL238555,BL235596,BL237116,BL249938,BL269822,BL268187,BL221093,BL299530,BL308954,BL266251,BL268829,BL270579
BL124533,BL132103,BL213917,BL172318,BL171393,BL193129,BL189502,BL137961,BL243923,BL234983,BL237399,BL249131,BL268695,BL269824,BL214824,BL301737,BL315654,BL267169,BL264572,BL271061
BL127513,BL123901,BL201089,BL166475,BL159503,BL185999,BL185700,BL166475,BL242924,BL235595,BL234908,BL249185,BL269464,BL269782,BL277689,BL311530,BL309070,BL283223,BL284253,BL276826
BL124892,BL134368,BL199137,BL166932,BL141196,BL222016,BL166932,BL220471,BL246354,BL234871,BL234979,BL249434,BL267819,BL269518,BL285266,BL309070,BL317226,BL295514,BL283223,BL282346
BL181418,BL107477,BL199025,BL172861,BL172350,BL221093,BL231026,BL222750,BL242204,BL235818,BL235595,BL250867,BL265955,BL265415,BL277400,BL310348,BL310348,BL272736,BL265742,BL308954
BL172496,BL118671,BL201183,BL170403,BL171718,BL199124,BL220471,BL227262,BL243401,BL240753,BL222750,BL251802,BL268721,BL267552,BL276900,BL315654,BL327259,BL265142,BL274402,BL309070
BL135295,BL122582,BL219243,BL173493,BL162849,BL214824,BL225447,BL202268,BL245055,BL236579,BL222292,BL253099,BL249064,BL269822,BL279790,BL311626,BL319181,BL268201,BL270111,BL297911
BL135323,BL126161,BL111757,BL166120,BL172922,BL214863,BL225996,BL224167,BL193129,BL238122,BL228280,BL249193,BL249131,BL267931,BL276648,BL316132,BL311235,BL269077,BL328496,BL310425
BL123144,BL125044,BL101955,BL172278,BL166932,BL222750,BL231646,BL199124,BL235158,BL235542,BL228609,BL244467,BL249938,BL269818,BL279056,BL311390,BL315334,BL270456,BL328081,BL310473
BL134368,BL122640,BL092944,BL172296,BL172297,BL225029,BL228097,BL226478,BL234979,BL222750,BL240380,BL246641,BL251616,BL268514,BL283512,BL310475,BL321917,BL329793,BL329025,BL311009
BL135296,BL121633,BL100413,BL172297,BL173493,BL221394,BL225988,BL224235,BL230531,BL219937,BL240488,BL249838,BL265742,BL267016,BL282154,BL315334,BL320039,BL328506,BL329514,BL311032
BL141085,BL129202,BL095780,BL175646,BL166475,BL213917,BL224761,BL228427,BL235540,BL228262,BL239798,BL252451,BL265748,BL264630,BL283330,BL311235,BL318401,BL328521,BL328400,BL311235
BL136812,BL124059,BL096707,BL172350,BL171739,BL215247,BL228623,BL224479,BL221885,BL237399,BL240392,BL258203,BL267827,BL266024,BL283894,BL265469,BL319085,BL328081,BL328802,BL311390
BL530182,BL121714,BL093424,BL171718,BL167117,BL202268,BL225728,BL220860,BL227262,BL237415,BL234906,BL256630,BL264630,BL268721,BL282786,BL268529,BL322048,BL328400,BL329410,BL311530
BL137095,BL124258,BL100568,BL171739,BL172861,BL201076,BL227258,BL221929,BL224235,BL241299,BL235818,BL256304,BL267859,BL270353,BL266977,BL265252,BL318308,BL328865,BL329554,BL311756
BL167117,BL129346,BL107829,BL172496,BL171550,BL199547,BL227262,BL214765,BL222469,BL240380,BL236007,BL256294,BL265961,BL265955,BL269186,BL265827,BL321912,BL329934,BL328666,BL312030
BL159503,BL126464,BL095797,BL171039,BL172296,BL200693,BL219074,BL185332,BL228262,BL240392,BL243045,BL257672,BL268375,BL249938,BL266039,BL268525,BL323559,BL329992,BL329091,BL312818
BL168280,BL129379,BL102070,BL174775,BL172318,BL193563,BL225659,BL199825,BL231749,BL237116,BL243298,BL256669,BL266676,BL249935,BL267552,BL311756,BL316906,BL329554,BL329515,BL298746
BL091278,BL121825,BL109926,BL169529,BL170403,BL193275,BL230873,BL214863,BL228280,BL240807,BL248073,BL252667,BL263112,BL249678,BL265469,BL312030,BL311390,BL329093,BL329031,BL321515
BL126464,BL131645,BL117204,BL174773,BL171139,BL174967,BL241299,BL222206,BL224479,BL234906,BL246359,BL256136,BL264833,BL251721,BL265827,BL310425,BL315984,BL328151,BL328502,BL321673
BL126504,BL126064,BL083751,BL172547,BL172547,BL185024,BL240956,BL219937,BL174967,BL236007,BL238753,BL255241,BL260471,BL268375,BL258361,BL309165,BL316584,BL329031,BL329093,BL321912
BL091833,BL124272,BL093319,BL173847,BL171146,BL187176,BL235775,BL214824,BL172350,BL234908,BL243297,BL254707,BL261839,BL268695,BL258203,BL311032,BL319310,BL329025,BL330645,BL321917
BL114892,BL122712,BL086576,BL185332,BL174775,BL173772,BL244469,BL235937,BL198335,BL243649,BL254501,BL258570,BL264270,BL267859,BL256136,BL256794,BL320420,BL330645,BL328625,BL322048
BL106540,BL117008,BL093267,BL182831,BL172496,BL181844,BL236803,BL224543,BL224167,BL244553,BL250867,BL255912,BL264277,BL265961,BL256669,BL258203,BL324896,BL330619,BL328613,BL255285
BL140384,BL121990,BL098814,BL177299,BL174773,BL171146,BL242700,BL231142,BL225447,BL245332,BL254788,BL258569,BL254693,BL269082,BL255714,BL257815,BL321515,BL329091,BL329024,BL323453
BL123902,BL118318,BL092676,BL180772,BL178149,BL162849,BL240542,BL225447,BL231470,BL240729,BL251802,BL255285,BL256136,BL267819,BL256304,BL262804,BL266977,BL309070,BL293840,BL255714
BL181844,BL124603,BL098910,BL193563,BL177605,BL167117,BL240766,BL236007,BL230896,BL243295,BL256132,BL265142,BL252700,BL267827,BL268576,BL266977,BL268375,BL299028,BL296173,BL255912
BL124059,BL180772,BL101469,BL178149,BL182831,BL172104,BL237650,BL236000,BL235001,BL242848,BL251721,BL266406,BL254713,BL264262,BL268529,BL269673,BL265827,BL293840,BL328865,BL262593
BL182831,BL184611,BL092761,BL173772,BL182835,BL171550,BL239783,BL231026,BL202268,BL248073,BL250043,BL262937,BL255912,BL265742,BL268375,BL271576,BL268525,BL294140,BL329409,BL262947
BL137396,BL185668,BL118506,BL177605,BL193563,BL166475,BL236826,BL221093,BL199124,BL239854,BL248414,BL263658,BL265469,BL265748,BL268909,BL269186,BL310425,BL329409,BL299028,BL263096
BL171550,BL193129,BL100838,BL185339,BL173772,BL185700,BL235815,BL226994,BL235765,BL238260,BL243518,BL262947,BL264030,BL265252,BL268829,BL268375,BL311009,BL330224,BL330224,BL264269
BL171718,BL184617,BL112344,BL171139,BL171039,BL182835,BL242376,BL231131,BL235595,BL240639,BL246641,BL261968,BL262812,BL266676,BL267931,BL272620,BL311032,BL329265,BL329265,BL264270
BL171139,BL184667,BL098526,BL171146,BL169529,BL189502,BL240753,BL235196,BL234871,BL241029,BL249678,BL264262,BL262110,BL262488,BL271576,BL268187,BL309165,BL328790,BL329701,BL264277
BL171146,BL193586,BL106540,BL177676,BL174967,BL172748,BL237644,BL193563,BL235818,BL238918,BL249393,BL260792,BL250043,BL262804,BL243518,BL268576,BL322278,BL328802,BL328506,BL264562
BL139029,BL185767,BL117389,BL185719,BL180772,BL102070,BL235765,BL228280,BL234983,BL244046,BL249434,BL257554,BL252667,BL264030,BL262110,BL269923,BL320897,BL331102,BL329002,BL264572
BL185332,BL195365,BL099828,BL185767,BL185700,BL172496,BL235158,BL224217,BL235775,BL226994,BL252667,BL256472,BL252657,BL258305,BL262593,BL243518,BL319691,BL328496,BL338406,BL264630
BL185668,BL193613,BL123241,BL195729,BL185719,BL178637,BL236095,BL213902,BL235596,BL249185,BL254693,BL256771,BL251802,BL256136,BL263658,BL262593,BL319690,BL329182,BL331456,BL264940
BL128933,BL171718,BL124813,BL176024,BL181418,BL194448,BL235129,BL224285,BL235196,BL251692,BL254707,BL258313,BL255496,BL257124,BL261982,BL262110,BL320479,BL328625,BL329184,BL265142
BL185767,BL185999,BL126718,BL173220,BL195729,BL201089,BL237649,BL228262,BL240766,BL251843,BL255241,BL254788,BL264384,BL255285,BL262268,BL267931,BL320421,BL328613,BL329182,BL265252
BL165615,BL174775,BL135323,BL178737,BL196354,BL221396,BL238964,BL232272,BL236141,BL254788,BL254415,BL254415,BL264386,BL256132,BL260471,BL269238,BL312030,BL329900,BL329992,BL271539
BL171317,BL178125,BL121714,BL181844,BL174602,BL213667,BL237265,BL230896,BL236579,BL252657,BL243779,BL255284,BL261887,BL255241,BL258569,BL265493,BL318776,BL329930,BL328151,BL272312
BL171393,BL172547,BL117463,BL178510,BL173220,BL223778,BL235318,BL221885,BL238122,BL252667,BL241029,BL258581,BL258040,BL264833,BL270251,BL268909,BL321651,BL328162,BL329900,BL272504
BL139253,BL177299,BL123144,BL174967,BL193564,BL198335,BL241467,BL224082,BL240380,BL255384,BL242607,BL266977,BL262450,BL263112,BL269547,BL268721,BL321673,BL328502,BL329930,BL272558
BL172278,BL186031,BL122781,BL193586,BL185332,BL220860,BL241451,BL228097,BL236143,BL250867,BL244467,BL269515,BL257815,BL264269,BL269822,BL269547,BL268829,BL329002,BL328521,BL272620
BL177608,BL174011,BL130448,BL185700,BL178737,BL173493,BL243923,BL227258,BL234906,BL250043,BL244067,BL267552,BL261982,BL265469,BL270296,BL270296,BL324679,BL328666,BL330619,BL272654
BL165804,BL186144,BL126064,BL180603,BL193613,BL180772,BL244067,BL198335,BL235542,BL249288,BL249938,BL268493,BL266406,BL263445,BL269824,BL267552,BL321283,BL330021,BL329934,BL272736
BL172037,BL176024,BL124533,BL181418,BL185339,BL176024,BL236143,BL213667,BL222206,BL249813,BL251813,BL269818,BL262268,BL262812,BL270111,BL268201,BL320284,BL329184,BL328162,BL273240
BL129786,BL171739,BL116118,BL178637,BL177299,BL177299,BL239692,BL200551,BL220471,BL248414,BL249221,BL267906,BL266251,BL264277,BL273240,BL266039,BL324687,BL329204,BL331102,BL274107
BL175646,BL049152,BL115963,BL175124,BL175124,BL171317,BL236314,BL225996,BL225996,BL249678,BL249939,BL268187,BL264940,BL255496,BL265252,BL267016,BL267552,BL329183,BL330764,BL274109
BL171983,BL178510,BL130842,BL193613,BL187176,BL224761,BL240639,BL193613,BL224671,BL253959,BL249185,BL269824,BL263445,BL252657,BL268525,BL268988,BL321238,BL330764,BL330150,BL318308
BL129549,BL185024,BL123901,BL193564,BL181844,BL225659,BL235160,BL127514,BL231646,BL251803,BL248517,BL271396,BL263522,BL249185,BL269673,BL270253,BL321113,BL241337,BL329204,BL318401
BL172104,BL177676,BL123902,BL187176,BL189502,BL224167,BL234908,BL134368,BL228717,BL249393,BL249193,BL267016,BL265493,BL250043,BL267016,BL270456,BL311626,BL298137,BL335528,BL318776
BL175124,BL192551,BL127513,BL185999,BL178637,BL220471,BL236132,BL173772,BL225659,BL249193,BL249813,BL269780,BL262837,BL251802,BL268187,BL269518,BL310473,BL311235,BL239710,BL319085
BL185719,BL193916,BL131645,BL178888,BL185999,BL228623,BL236674,BL122781,BL230354,BL249221,BL251568,BL265415,BL262593,BL264386,BL265493,BL272312,BL310475,BL329514,BL310473,BL319181
